equipments = {
	light_ship_hull = {
	destroyer_ship_hull_5 = {
		year = 2010

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_4

		module_slots = inherit
	}
	destroyer_ship_hull_6 = {
		year = 2020

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_5

		module_slots = inherit
	}
	destroyer_ship_hull_7 = {
		year = 2030

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_6

		module_slots = inherit
	}
	destroyer_ship_hull_8 = {
		year = 2040

		archetype = destroyer_ship_hull
		priority = 1800
		parent = destroyer_ship_hull_7

		module_slots = inherit
	}
	cruiser_ship_hull_0 = {
		year = 1960

		archetype = cruiser_ship_hull
		priority = 1600

		module_slots = inherit
	}
	cruiser_ship_hull_1 = {
		year = 1970

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_0

		module_slots = inherit
	}
	cruiser_ship_hull_2 = {
		year = 1980

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_1

		module_slots = inherit
	}
	cruiser_ship_hull_3 = {
		year = 1990

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_2

		module_slots = inherit
	}
	cruiser_ship_hull_4 = {
		year = 2000

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_3

		module_slots = inherit
	}
	cruiser_ship_hull_5 = {
		year = 2010

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_4

		module_slots = inherit
	}
	cruiser_ship_hull_6 = {
		year = 2020

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_5

		module_slots = inherit
	}
	cruiser_ship_hull_7 = {
		year = 2030

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_6

		module_slots = inherit
	}
	cruiser_ship_hull_8 = {
		year = 2040

		archetype = cruiser_ship_hull
		priority = 1600
		parent = cruiser_ship_hull_7

		module_slots = inherit
	}
	light_cv_ship_hull_0 = {
		year = 1960

		archetype = light_cv_ship_hull
		priority = 1400

		module_slots = inherit
	}
	light_cv_ship_hull_1 = {
		year = 1970

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_0

		module_slots = inherit
	}
	light_cv_ship_hull_2 = {
		year = 1980

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_1

		module_slots = inherit
	}
	light_cv_ship_hull_3 = {
		year = 1990

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_2

		module_slots = inherit
	}
	light_cv_ship_hull_4 = {
		year = 2000

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_3

		module_slots = inherit
	}
	light_cv_ship_hull_5 = {
		year = 2010

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_4

		module_slots = inherit
	}
	light_cv_ship_hull_6 = {
		year = 2020

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_5

		module_slots = inherit
	}
	light_cv_ship_hull_7 = {
		year = 2030

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_6

		module_slots = inherit
	}
	light_cv_ship_hull_8 = {
		year = 2040

		archetype = light_cv_ship_hull
		priority = 1400
		parent = light_cv_ship_hull_7

		module_slots = inherit
	}
	heavy_cv_ship_hull_0 = {
		year = 1960

		archetype = heavy_cv_ship_hull
		priority = 1200

		module_slots = inherit
	}
	heavy_cv_ship_hull_1 = {
		year = 1970

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_0

		module_slots = inherit
	}
	heavy_cv_ship_hull_2 = {
		year = 1980

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_1

		module_slots = inherit
	}
	heavy_cv_ship_hull_3 = {
		year = 1990

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_2

		module_slots = inherit
	}
	heavy_cv_ship_hull_4 = {
		year = 2000

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_3

		module_slots = inherit
	}
	heavy_cv_ship_hull_5 = {
		year = 2010

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_4

		module_slots = inherit
	}
	heavy_cv_ship_hull_6 = {
		year = 2020

		archetype = heavy_cv_ship_hull
		priority = 2000
		parent = heavy_cv_ship_hull_5

		module_slots = inherit
	}
	heavy_cv_ship_hull_7 = {
		year = 2030

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_6

		module_slots = inherit
	}
	heavy_cv_ship_hull_8 = {
		year = 2040

		archetype = heavy_cv_ship_hull
		priority = 1200
		parent = heavy_cv_ship_hull_7

		module_slots = inherit
	}
	light_submarine_hull_0 = {
		year = 1960

		archetype = light_submarine_hull
		priority = 2400

		module_slots = inherit
	}
	light_submarine_hull_1 = {
		year = 1970

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_0

		module_slots = inherit
	}
	light_submarine_hull_2 = {
		year = 1980

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_1

		module_slots = inherit
	}
	light_submarine_hull_3 = {
		year = 1990

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_2

		module_slots = inherit
	}
	light_submarine_hull_4 = {
		year = 2000

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_3

		module_slots = inherit
	}
	light_submarine_hull_5 = {
		year = 2010

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_4

		module_slots = inherit
	}
	light_submarine_hull_6 = {
		year = 2020

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_5

		module_slots = inherit
	}
	light_submarine_hull_7 = {
		year = 2030

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_6

		module_slots = inherit
	}
	light_submarine_hull_8 = {
		year = 2040

		archetype = light_submarine_hull
		priority = 2400
		parent = light_submarine_hull_7

		module_slots = inherit
	}
	heavy_submarine_hull_0 = {
		year = 1960

		archetype = heavy_submarine_hull
		priority = 2200

		module_slots = inherit
	}
	heavy_submarine_hull_1 = {
		year = 1970

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_0

		module_slots = inherit
	}
	heavy_submarine_hull_2 = {
		year = 1980

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_1

		module_slots = inherit
	}
	heavy_submarine_hull_3 = {
		year = 1990

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_2

		module_slots = inherit
	}
	heavy_submarine_hull_4 = {
		year = 2000

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_3

		module_slots = inherit
	}
	heavy_submarine_hull_5 = {
		year = 2010

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_4

		module_slots = inherit
	}
	heavy_submarine_hull_6 = {
		year = 2020

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_5

		module_slots = inherit
	}
	heavy_submarine_hull_7 = {
		year = 2030

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_6

		module_slots = inherit
	}
	heavy_submarine_hull_8 = {
		year = 2040

		archetype = heavy_submarine_hull
		priority = 2200
		parent = heavy_submarine_hull_7

		module_slots = inherit
	}

}
